Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Insufficient Funds,710,0,0,710
2026-01,Foodora,Norway,MIT,Credit Card,applepay,NOT MAPPED,4616,4210,406,0
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Payment Instrument Issues,105,0,0,105
2026-01,Foodora,Norway,MIT,Credit Card,applepay,Third Party System Error,16,0,0,16
2026-01,Foodora,Norway,MIT,Credit Card,applepay,unknown,22,21,1,0
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Drops,62,0,0,62
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Fraud Risk,1,0,0,1
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Generic Rejection,5,0,0,5
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Insufficient Funds,647,0,0,647
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,NOT MAPPED,8064,7490,574,0
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Payment Instrument Issues,148,0,0,148
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,Third Party System Error,43,0,0,43
2026-01,Foodora,Norway,MIT,Credit Card,credit_card,unknown,64,59,4,1
2026-01,Foodora,Sweden,CIT,Alternative Payment Method,klarna,Drops,765,0,0,765
2026-01,Foodora,Sweden,CIT,Alternative Payment Method,klarna,NOT MAPPED,9307,9274,32,1
2026-01,Foodora,Sweden,CIT,Alternative Payment Method,klarna,Payment Instrument Issues,314,0,0,314
2026-01,Foodora,Sweden,CIT,Alternative Payment Method,klarna,unknown,7,2,0,5
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,Generic Rejection,2,0,0,2
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,Insufficient Funds,91,0,0,91
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,NOT MAPPED,10525,10458,67,0
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,Payment Instrument Issues,61,0,0,61
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,Third Party System Error,6,0,0,6
2026-01,Foodora,Sweden,CIT,Credit Card,applepay,unknown,7,3,0,4
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,Drops,1105,0,0,1105
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,Insufficient Funds,31,0,0,31
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,NOT MAPPED,5517,5431,84,2
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,Payment Instrument Issues,77,0,0,77
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,Third Party System Error,9,0,0,9
2026-01,Foodora,Sweden,CIT,Credit Card,credit_card,unknown,19,0,0,19
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,klarna,Drops,12,0,0,12
